# No Expectations leads triaged to lane C8 — 46 albums. Format: artist | album | year | label | n_posts | URLs | note
22º Halo | Lily of the Valley | 2024 |  | 2 | https://www.noexpectations.fyi/p/22-degree-halo-haley-heynderickx-lee-baggett ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Philadelphia band between folk, slacker rock and bedroom pop; vivacious, hopeful songs written through a partner's brain-cancer diagnosis.
Babehoven | I See Them, I See Me | 2026 |  | 1 | https://www.noexpectations.fyi/p/slow-pulp-the-drin-babehoven-ruby-of-thanks | Full-band indie folk-pop with country/Americana touches, soaring vocals and explosive production after lo-fi beginnings.
Bloomsday | Heart of the Artichoke | 2024 |  | 2 | https://www.noexpectations.fyi/p/margaux-good-looks-bloomsday-new-music ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far | Delicate, stunning, perceptive songs about connection, co-produced by Babehoven's Ryan Albert and mixed by Slow Pulp's Henry Stoehr.
Bnny | Everything |  |  | 1 | https://www.noexpectations.fyi/p/rosali-interview-bite-down-taste-profile | Bnny's lo-fi, grief-centered prior album.
Bnny | One Million Love Songs | 2024 |  | 5 | https://www.noexpectations.fyi/p/rosali-interview-bite-down-taste-profile ; https://www.noexpectations.fyi/p/new-music-little-kid-hemlock-bnny-hour ; https://www.noexpectations.fyi/p/hovvdy-interview-charlie-martin-will-taylor | Points readers to a Bandcamp Album of the Day write-up on this slowcore/shoegaze/garage record about life after grief.
Cantuckee | Sounds | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list | Honorable mention (Villagerrr's Mark Scott's other project).
Clifford | Golden Caravan | 2025 |  | 2 | https://www.noexpectations.fyi/p/best-new-albums-teethe-emily-hines-seth-beck-ada-lea ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Boston indie rock that swings between pummeling noise and jangle, with moody slowcore passages and a subtle twang.
Credit Electric | Salvation | 2025 |  | 2 | https://www.noexpectations.fyi/p/phish-united-center-review-2025-new-music ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Ethereal psychedelic alt-country with slide guitar, sax and loungy ambient atmospherics, near Blue Nile and Greg Freeman.
Dead Sullivan | Imbecile | 2017 |  | 1 | https://www.noexpectations.fyi/p/hovvdy-interview-charlie-martin-will-taylor | Boone Patrello's earlier project, one of Will Taylor's favorites for years; Teethe is the new band.
Fine | Rocky Top Ballads | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-music-denmark-felt-escho-konkylie | Impeccably crafted minimalist songs with rootsy, bluegrass-tinged elements and a Hope Sandoval hush.
Finnish Postcard | Body | 2025 |  | 3 | https://www.noexpectations.fyi/p/brown-horse-mamalarky-neu-blume-finnish-postcard-casper-skulls ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Dynamic debut from homespun to raging, with natural harmonies and Elliott Smith / Pinback / Owen touchpoints.
Fog Lake | Midnight Society | 2023 |  | 3 | https://www.noexpectations.fyi/p/how-to-interview-bands-and-be-a-better-friend ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Newfoundland's Aaron Powell makes quiet, homespun, grainy but memorable songs; this surprise release is his most dynamic, with You Forgot It In People-era Broken Social Scene rockers.
Friendship | Caveman Wakes Up | 2025 | Merge | 4 | https://www.noexpectations.fyi/p/friendship-dan-wriggins-caveman-wakes-up-interview ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Eleven songs of understated catharsis, wry humor and devastating one-liners with thunderous riffs; Dead nod in 'Betty Ford'.
Friendship | Love the Stranger | 2022 | Merge | 3 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according ; https://www.noexpectations.fyi/p/best-new-music-q1-2023-morby-sakamoto ; https://www.noexpectations.fyi/p/friendship-dan-wriggins-caveman-wakes-up-interview | Philly band fronted by poet Dan Wriggins; gentle, curious, patient music that demands you follow the lyrics, evocative and often funny; the 2022 album Terry has returned to most in 2023.
Hana Stretton | tiarn | 2026 |  | 1 | https://www.noexpectations.fyi/p/hana-stretton-neptunes-core-bullseye-mallory-hawk | Delicate, immersive ghostly folk-ambient with spectral harmonies and field recordings.
Hataalii | I'll Be Around | 2025 |  | 2 | https://www.noexpectations.fyi/p/will-johnson-lily-seabird-hataalii ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far | Ornate, eerie Americana fit for the Twin Peaks Roadhouse.
Hataalii | Singing Into Darkness | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Mysterious, exciting Arizona indie rock with hypnotic vocals recalling Jim Morrison and Lou Reed and viscerally direct lyrics.
Hataałii | I’ll Be Around | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Hataałii | Waiting for a Sign | 2024 |  | 2 | https://www.noexpectations.fyi/p/seeing-goose-for-the-first-time-intro-jam ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Window Rock, Arizona songwriter with a warbling baritone and writing both impressionistic and direct, obliquely Nick Cave-like.
Hazel City | Old Friend | 2023 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Twin Peaks/Grapetooth's Clay Frankel goes subdued and twangy, like Alex G by way of Townes Van Zandt; songs of yearning and regret.
hemlock | 444 | 2024 |  | 2 | https://www.noexpectations.fyi/p/new-lps-sheepskin-hemlock-spun-out-nap-eyes ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Carolina Chauffe's first full-band record, crunchy and enthralling, split between intimate homespun folk and twangy indie rock.
hemlock | amen (EP) | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-music-little-kid-hemlock-bnny-hour | Carolina Chauffe's solo intimacy gains urgency with a full-band recording; covers the Handsome Family.
hemlock | Talk Soon | 2022 |  | 1 | https://www.noexpectations.fyi/p/no-expectations-043-bad-summer | Raw, introspective folk stitched with voicemails from loved ones; intimate and homey.
