# No Expectations leads triaged to lane C2 — 19 albums. Format: artist | album | year | label | n_posts | URLs | note
Brad Goodall | Hometown | 2026 |  | 3 | https://www.noexpectations.fyi/p/mildred-brad-goodall-youbet-bruce-springsteen-pearla ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far ; https://www.noexpectations.fyi/p/sam-louise-sullivan-heavenly-bodes-shannon-lay-media-puzzle | Piano-driven, introspective pop about returning home, with sophisticated melodies.
Brad Goodall | Live at Levon Helm Studios |  |  | 1 | https://www.noexpectations.fyi/p/in-defense-of-live-albums | Named among semi-recent stellar live releases.
Brad Goodall | Made In America | 2022 |  | 3 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according ; https://www.noexpectations.fyi/p/mildred-brad-goodall-youbet-bruce-springsteen-pearla ; https://www.noexpectations.fyi/p/sam-louise-sullivan-heavenly-bodes-shannon-lay-media-puzzle | Ex-Ona keyboardist's debut trades Band-style rock for piano-man virtuosity and Zevon-ish snark; funny but not a comedy record.
Colin Miller | Losin' | 2025 |  | 3 | https://www.noexpectations.fyi/p/uwade-mei-semones-colin-miller-eli-winter ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Bittersweet folk rock sharpening his earlier work, full of shared-memory and loss storytelling from the Haw Creek / Lenderman circle.
Dougie Poole | The Rainbow Wheel of Death | 2023 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Listed among the 40 honorable mentions (positions 61–100) with no blurb.
Eliza Niemi | Progress Bakery | 2025 |  | 2 | https://www.noexpectations.fyi/p/reviews-pry-blasucci-lifeguard-daughter-swords-niemi ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Wry jokes and meticulous lyrical detail over relaxed, lush arrangements with cello interludes and DIY-punk detours.
Izaak Opatz | Extra Medium | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Montana songwriter's self-described 'dirtwave' is really just smart, unfussy, mildly twangy folk that hits small sweet spots; recalls Bahamas and Andy Shauf.
Josh Halper | Schlemiel | 2025 |  | 2 | https://www.noexpectations.fyi/p/best-new-albums-september-2025-big-thief-mae-powell-abel ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Keys-heavy heartland rock with conversational, relatable songwriting about relationships.
Josh Halper | Schlmiel | 2023 |  | 1 | https://www.noexpectations.fyi/p/mildred-brad-goodall-youbet-bruce-springsteen-pearla | Friend's LP previously recommended; played unreleased songs at Color Club.
Mildred | Fenceline | 2026 |  | 2 | https://www.noexpectations.fyi/p/mildred-brad-goodall-youbet-bruce-springsteen-pearla ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Breezy, affecting folk rock debut with conversational lyrics and vocals that swing from laconic to full-throated.
Paper Castles | I'm Sad as Hell and I'm Not Going to Fake It Anymore | 2025 |  | 3 | https://www.noexpectations.fyi/p/dead-and-company-sphere-review-2025 ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Fourth LP of janky livewire guitars, winking humor and surprisingly massive choruses; Amen Dunes and Lou-Reed-does-country comparisons.
Pony Bradshaw | North Georgia Rounder | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Listed among the 40 honorable mentions (positions 61–100) with no blurb.
Pony Bradshaw | Thus Spoke the Fool | 2024 |  | 1 | https://www.noexpectations.fyi/p/best-country-albums-of-2024 | Character-driven historical songwriting about Georgia that humanizes Cherokee history and working-class locals.
Ryan Davis & the Roadhouse Band | Dancing on the Edge | 2023 |  | 1 | https://www.noexpectations.fyi/p/hana-stretton-neptunes-core-bullseye-mallory-hawk | Cited as a prior Ever/Never co-release while discussing the label.
Ryan Davis & The Roadhouse Band | New Threats From the Soul | 2025 | Sophomore Lounge | 3 | https://www.noexpectations.fyi/p/no-expectations-116-be-here-now ; https://www.noexpectations.fyi/p/best-new-albums-teethe-emily-hines-seth-beck-ada-lea ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Conversational barfly rock with dazzling lyrics, expressive baritone, pedal steel and violin cut with synths and programmed beats; ex-State Champion.
Ryan Davis and the Roadhouse Band | Dancing on the Edge |  |  | 1 | https://www.noexpectations.fyi/p/radiohead-albums-ranked-the-smile-kid-a | Seven-song double LP of weathered-voice, cosmic-barfly 'conversation rock' with Joan Shelley and Freakwater's Catherine Irwin guesting.
Styrofoam Winos | Any River | 2026 |  | 1 | https://www.noexpectations.fyi/p/shabason-krgovich-styrofoam-winos-haylie-davis | Lived-in, unpredictable folk rock that is slightly psychedelic but always inviting.
Styrofoam Winos | Real Time | 2024 |  | 2 | https://www.noexpectations.fyi/p/new-indie-rock-albums-sept-oct-merce-lemon-lutalo ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Nashville trio of solo songwriters Lou Turner, Joe Kenkel and Trevor Nikrant making easygoing heartland rock Terry calls a patio album.
Symbol Soup | Stepping on the Same Rakes | 2026 |  | 2 | https://www.noexpectations.fyi/p/natalie-jane-hill-dagmar-zuniga-symbol-soup-doll-spirit-vessel ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Charming, conversational folk-rock at an ambling, unhurried pace with breezy melodies.
