# No Expectations leads triaged to lane C9 — 11 albums. Format: artist | album | year | label | n_posts | URLs | note
Cusp | What I Want Doesn't Want Me Back | 2025 |  | 2 | https://www.noexpectations.fyi/p/cusp-good-flying-birds-shutaro-noguchi-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Rochester trio's anthemic '90s-styled rock with emo and twang, pedal steel, squiggly synths and anxious lyrics.
Cusp | You Can Do It All | 2023 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Rochester-to-Chicago band's twinkling-guitar indie rock with inviting melodies and occasional Dinosaur Jr. fuzz; recalls Warehouse, Mothers, Finom, Ovlov.
Friko | Something Worth Waiting For | 2026 | ATO | 3 | https://www.noexpectations.fyi/p/friko-interview-brown-horse-accessory ; https://www.noexpectations.fyi/p/gawshock-gia-margaret-carla-dal-forno-double-extra-large ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Frantic, explosive Chicago rock with soaring crescendos; Kapetan discusses Philip Glass polyrhythms and Bill Callahan's spoken delivery as touchstones.
Friko | Whenever Forever | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Listed without blurb among 2022 favorites.
Friko | Where we've been, Where we go from here | 2024 | ATO | 5 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 ; https://www.noexpectations.fyi/p/always-listen-to-your-friends-recommendations ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far | Huge, cathartic, theatrical indie rock built on powerhouse vocals that build to hair-raising peaks.
home is where | the whaler | 2023 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Florida band's ambitious, anxious emo taking as many cues from Bob Dylan as American Football; the future of the genre; Terry wrote the bio.
proun | Maybe Luck | 2026 |  | 1 | https://www.noexpectations.fyi/p/ultra-lights-proun-mary-in-the-junkyard-nixon-boyd | Collaborative alt-rock mixing '90s alternative, 2010s emo and pedal-tinged bedroom folk with cathartic jams.
Red PK | Horse Like Me | 2026 |  | 2 | https://www.noexpectations.fyi/p/i26connector-ellie-o-neill-red-pk-amaya-pena ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Emo-tinged countrified rock with grooves, pedal steel, vulnerable introspection and cozy band chemistry.
Sinai Vessel | I SING | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-lps-robber-robber-sinai-vessel-ben-seretan | A move from earlier emo toward resonant heartland indie rock about the toll of making music for a living.
Slaughter Beach, Dog | Crying, Laughing, Waving, Smiling | 2023 |  | 3 | https://www.noexpectations.fyi/p/best-new-tracks-music-q3-2023 ; https://www.noexpectations.fyi/p/slaughter-beach-dog-jake-ewald-interview ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Fifth LP of warm, intimate storytelling wrapped in muted, gentle Americana with Erin Rae guesting; Terry calls it one of 2023's best, and 'Float Away' is an ode to the Delaware River.
Twine | New Old Horse | 2024 |  | 2 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 ; https://www.noexpectations.fyi/p/cusp-good-flying-birds-shutaro-noguchi-review | Adelaide post-hardcore band with heartland twang in the Songs: Ohia and Frames lineage.
