# No Expectations leads triaged to lane X9 — 24 albums. Format: artist | album | year | label | n_posts | URLs | note
Bleary Eyed | Easy | 2025 |  | 2 | https://www.noexpectations.fyi/p/meg-duffy-hand-habits-interview-blue-reminder ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Playful, inventive shoegaze with gleeful skittish studio flourishes on top of real pop songwriting.
Daffodil-11 | Daffodil-11 | 2026 |  | 2 | https://www.noexpectations.fyi/p/my-new-band-believe-spoils-national-photo-committee ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Subtly groove-minded indie pop with dream-pop and contemporary guitar-rock leanings.
Far Caspian | Autofiction | 2025 |  | 2 | https://www.noexpectations.fyi/p/no-expectations-116-be-here-now ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Hazy, intimate indie rock of sparkling guitars and enveloping synths, inspired by the Sea and Cake.
Far Caspian | The Last Remaining Light | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Named in the intro as a 2023 record Terry left off because he wrote its bio or it is a live/covers set.
Feeble Little Horse | bitknot | 2026 |  | 1 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Listed without a blurb in the alphabetical honorable-mentions section.
Feeble Little Horse | Girl With Fish | 2023 | Saddle Creek | 4 | https://www.noexpectations.fyi/p/spotify-vertical-feed-algorithm-ai-dj-koth ; https://www.noexpectations.fyi/p/how-to-interview-bands-and-be-a-better-friend ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list | Arrived fully formed; veers from sugary pop hooks to caustic distortion and glitch beats in seconds; Terry pitched himself to write the bio after loving 2021's Hayday.
Gaadge | Somewhere Down Below | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Listed among the 40 honorable mentions (positions 61–100) with no blurb.
Lunar Vacation | Everything Matters, Everything's Fire | 2024 | Keeled Scales | 2 | https://www.noexpectations.fyi/p/seeing-goose-for-the-first-time-intro-jam ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Georgia band balancing shoegaze squall against arena-ready pop hooks with polish and bite.
Maria Somerville | Luster | 2025 |  | 2 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Midwife & Vyva Melinkolya | Orbweaving | 2023 |  | 1 | https://www.noexpectations.fyi/p/squirrel-flower-tomorrows-fire-interview | Music unafraid of taking up space, cloud-like rather than linear; Williams played it daily for two months.
Milly | Your Own Becoming | 2024 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Named as a 2024 favorite Terry left off the list because he wrote its press bio.
Nashpaints | Everyone Good Is Called Molly | 2026 |  | 2 | https://www.noexpectations.fyi/p/mod-lang-liz-cooper-nashpaints-remember-sports ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Patient, expansive ghostly pop with aqueous hazy textures spanning girl groups, dream pop and shoegaze.
Pileup | Leave the Light On | 2026 |  | 2 | https://www.noexpectations.fyi/p/star-moles-lala-lala-pileup ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Portland shoegaze that pairs wailing lead guitars with a delicate, pop-minded, introspective core.
Pond 1000 | daffodiL | 2025 |  | 3 | https://www.noexpectations.fyi/p/new-lps-lucky-cloud-sharp-pins-macie-stewart-free-range ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Heady swirling guitars and looping grooves that dodge shoegaze and indie cliches.
Pry | Wrapped in Plastic | 2025 |  | 2 | https://www.noexpectations.fyi/p/reviews-pry-blasucci-lifeguard-daughter-swords-niemi ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Shoegaze-adjacent, from muted haze to frantic soaring guitars, produced by No Age's Randy Randall.
Punchlove | Channels | 2024 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Brooklyn shoegaze whose loud guitars meet hair-raising choruses and unassailable songwriting.
