# No Expectations leads triaged to lane C6 — 71 albums. Format: artist | album | year | label | n_posts | URLs | note
Age of Peace | Ode to Life | 2026 |  | 2 | https://www.noexpectations.fyi/p/twin-peaks-age-of-peace-cola-trinity-ace ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Spectral, cosmic folk pop: eight verdant, simple, somewhat spooky songs in 23 minutes from members of a more frantic band.
Amen Dunes | Freedom |  |  | 1 | https://www.noexpectations.fyi/p/new-albums-lamplight-amen-dunes-tapir | Prior LP he calls excellent.
Anna St. Louis | In the Air | 2023 | Mare Records | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Immaculately crafted songs on Kevin Morby's imprint, with an organ-led outro evoking Carole King and Allen Toussaint.
Arbor Labor Union | Out to Pasture | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Southern psychedelic guitar rock with winding, left-field, Dead-indebted grooves and crunchy chords.
Arbor Labor Union | Yonder | 2023 |  | 3 | https://www.noexpectations.fyi/p/break-point-netflix-tlou-yukihiro-takahashi ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Atlanta band's self-described 'transcendental twang' blends indie rock, post-punk and jam, like former hardcore kids becoming Grateful Dead converts; best thing Terry heard in January 2023.
Ben Seretan | Allora | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-lps-robber-robber-sinai-vessel-ben-seretan | Vibrant, ecstatic record cut in Italy in 2019 with raw, noisy textures and long instrumental passages.
Cass McCombs | Interior Live Oak | 2025 |  | 2 | https://www.noexpectations.fyi/p/meg-duffy-hand-habits-interview-blue-reminder ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Double LP of warm, ambling, unhurried guitar rock that synthesizes American folk traditions; his best in nearly a decade.
Chris Cohen | Paint a Room | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-albums-clairo-billy-strings-sturgill | Subdued psychedelia with infectious hooks and mysterious atmospheres, with horn charts from Jeff Parker and Josh Johnson.
Color Green | Color Green | 2022 | Aquarium Drunkard / Org Music | 1 | https://www.noexpectations.fyi/p/great-albums-from-2022-i-missed-2 | Locked-in grooves with Dead- and Allman-indebted guitar theatrics, rollicking and silky by turns.
Color Green | Fool's Parade | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-albums-clairo-billy-strings-sturgill | LA psych-rockers who carry '70s sounds into the present without throwback pretension.
Cory Hanson | I Love People | 2025 |  | 2 | https://www.noexpectations.fyi/p/no-expectations-116-be-here-now ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Full swerve from scorching guitar rock to piano-led, orchestral Nashville Sound ballads with sarcastic, well-built tunes.
Cory Hanson | Western Cum | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Provocatively titled, instantly likable LA rock with ten-minute guitar-solo epics.
Echolalia | Echolalia | 2025 |  | 3 | https://www.noexpectations.fyi/p/what-writing-100-newsletters-does-to-a-mf ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Nashville collective blending Radiohead atmospherics, Nilsson psychedelia, woozy Americana and pub rock; ties to Rich Ruth and Shrunken Elvis.
Erin Rae | Lighten Up | 2022 |  | 3 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according ; https://www.noexpectations.fyi/p/best-new-music-q1-2023-morby-sakamoto ; https://www.noexpectations.fyi/p/squirrel-flower-tomorrows-fire-interview | Nashville songwriter with a strong, textured voice and golden-age AM-radio flourishes that never turn kitschy; every arrangement tasteful.
Erin Rae | Lighten Up & Try | 2023 |  | 1 | https://www.noexpectations.fyi/p/in-defense-of-live-albums | Named among semi-recent stellar live releases.
Erin Rae | Lighten Up & Try (Live & From the Heart) | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Named in the intro as a 2023 record Terry left off because he wrote its bio or it is a live/covers set.
Erin Rae | Lighten Up and Try | 2023 |  | 1 | https://www.noexpectations.fyi/p/squirrel-flower-tomorrows-fire-interview | Live full-band LP named in the recap; she also guests on the Slaughter Beach, Dog album.
Gabriel Birnbaum | Patron Saint of Tireless Losers | 2024 |  | 1 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far | Listed without commentary among 30 honorable mentions below the main mid-year list.
Glyders | Forever | 2025 |  | 2 | https://www.noexpectations.fyi/p/geese-getting-killed-jeff-tweedy-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Forthcoming record from the Chicago psych-country project, flagged in a recap.
Hannah Cohen | Earthstar Mountain | 2025 | Flying Cloud Recordings | 3 | https://www.noexpectations.fyi/p/new-lps-lucky-cloud-sharp-pins-macie-stewart-free-range ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Splits the difference between Dusty Springfield, Gal Costa and Carole King with infectious bass and hazy psychedelia.
Haylie Davis | Wandering Star | 2026 |  | 1 | https://www.noexpectations.fyi/p/shabason-krgovich-styrofoam-winos-haylie-davis | Lush folk-rock drawing on pristine '70s Laurel Canyon songwriting with country styling.
House Band | Aventurine | 2024 |  | 2 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far | Nearly ninety minutes of sprawling, heady grooves and psych flourishes from Bedouine, Midnight Sister and Spoon players.
Jeffrey Silverstein | Western Sky Music | 2023 |  | 1 | https://www.noexpectations.fyi/p/mailbag-journalism-tips-freelancer-questions | Portland artist with Barry Walker Jr. on pedal steel; expansive and plaintive instrumentals plus songs sung between a Bill Callahan croon and Kurt Vile's delivery.
Johanna Samuels | Sorry, Kid | 2026 |  | 1 | https://www.noexpectations.fyi/p/nina-winder-lind-will-hasell-johanna-samuels-kiwi-jr | Lush '70s-rock songwriting with Rundgren/Elton/Harrison shades, mixing archival songs from 2007 on with Jonathan Rado production.
