# No Expectations leads triaged to lane C1 — 35 albums. Format: artist | album | year | label | n_posts | URLs | note
Abel | How to Get Away with Nothing | 2025 |  | 2 | https://www.noexpectations.fyi/p/best-new-albums-september-2025-big-thief-mae-powell-abel ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Loud guitar music for quiet people: self-lacerating wit over ramshackle country jangle.
Brown Horse | All The Right Weaknesses | 2025 |  | 4 | https://www.noexpectations.fyi/p/brown-horse-mamalarky-neu-blume-finnish-postcard-casper-skulls ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Raw slacker twang played with enthusiasm: soaring guitars, blissful pedal steel and earnest vocals, near Greg Freeman, Wednesday and Neil Young.
Brown Horse | Total Dive | 2026 |  | 2 | https://www.noexpectations.fyi/p/friko-interview-brown-horse-accessory ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Brooding, twangy guitar rock with fuzzy riffs, pedal steel and country-rock arrangements.
Chico States | I Saw A Galloping Horse Cover No Ground | 2025 |  | 2 | https://www.noexpectations.fyi/p/joyer-cistern-flock-of-dimes-chico-states-album-reviews ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Rousing rock with Americana bones: dusky melodies, pedal steel and scrappy harmonies.
Convinced Friend | Nowhere Songs | 2026 |  | 1 | https://www.noexpectations.fyi/p/convinced-friend-dos-santos-graham-hunt | Eight compact, forceful tracks fusing serene twang and apocalyptic indie rock, with harmonies and pedal steel.
Dari Bay | Longest Day of the Year | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Burlington's Zack James mixes '90s alt-rock with twang in locked-in tunes; Terry's most-played album of 2023.
Dari Bay | The Longest Day of the Year | 2023 |  | 2 | https://www.noexpectations.fyi/p/internet-horror-tom-verlaine-david-berman ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list | Vermont's Zack James makes efficient, hooky songs with hints of Big Star, Pavement and Alex G; 10 songs in 24 minutes, best album of 2023 so far.
David Nance & Mowed Sound | David Nance & Mowed Sound | 2024 | Third Man Records | 1 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 | Called his best yet; a near-perfect lead single of interlocking guitar jams for rockers.
Dialup Ghost | May You Live Forever in Cowboy Heaven | 2024 |  | 1 | https://www.noexpectations.fyi/p/4-great-albums-from-2024 | Nashville band's ramshackle singalongs, woozy twang and fiddle with Built to Spill and Elephant 6 energy; lyrics name-check Big Thief, Neil Young, the Replacements and Silver Jews.
Florry | Sounds Like... | 2025 |  | 3 | https://www.noexpectations.fyi/p/foxwarren-2-interview-andy-shauf-avery-kissick ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | One of the finest collections of rambunctious barroom twang, Dylan and Rolling Thunder sparks alongside understated beauty.
Florry | Sweet Guitar Solos | 2023 |  | 1 | https://www.noexpectations.fyi/p/internet-horror-tom-verlaine-david-berman | Philly collective's four-song EP of ramshackle, punk-inflected country built for beers in a small booze-stained room.
Florry | The Holey Bible | 2023 |  | 3 | https://www.noexpectations.fyi/p/remembering-the-itunes-free-single-of-the-week ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 ; https://www.noexpectations.fyi/p/new-music-sam-evian-villagerrr-rosali-sun-seeker | Philly country with a caustic warble, ice-cold-beer music between the Replacements and Drive-By Truckers.
