# No Expectations leads triaged to lane C5 — 122 albums. Format: artist | album | year | label | n_posts | URLs | note
Abbey Blackwell | Dream a Day | 2026 |  | 2 | https://www.noexpectations.fyi/p/abbey-blackwell-robber-robber-hiding-places-john-andrews-yawns ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Rich, lush-voiced folk with organic instrumentation, released only on Bandcamp.
Ada Lea | when i paint my masterpiece | 2025 |  | 2 | https://www.noexpectations.fyi/p/best-new-albums-teethe-emily-hines-seth-beck-ada-lea ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Her most playful and breezy record, '70s Laurel Canyon folk with slice-of-life humor and Dylan nods in the titles.
Adrianne Lenker | Bright Future | 2024 |  | 3 | https://www.noexpectations.fyi/p/new-music-sam-evian-villagerrr-rosali-sun-seeker ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Sparse, sequencing-driven solo set that Terry treats as timeless songwriting on a Dylan level.
Allegra Krieger | Art of the Unseen Infinity Machine | 2024 |  | 2 | https://www.noexpectations.fyi/p/seeing-goose-for-the-first-time-intro-jam ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Undulating, piercing but inviting vocals on dark diaristic songs about mortality that reach transcendence through grace.
Allegra Krieger | I Keep My Feet on a Fragile Plane | 2023 | Double Double Whammy | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Quietly contemplative, introspective songwriting dressed with French horn, English horn and pedal steel, produced by Luke Temple.
Allegra Krieger | I Keep My Feet on the Fragile Plane | 2023 |  | 1 | https://www.noexpectations.fyi/p/zach-bryan-concert-review-2024 | Ranked high on his 2023 list; her writing is miles beyond her peers.
Amen Dunes | Love | 2014 |  | 1 | https://www.noexpectations.fyi/p/new-albums-lamplight-amen-dunes-tapir | The decade-old record he describes as a lo-fi Astral Weeks.
Angela Autumn | Believer | 2026 |  | 1 | https://www.noexpectations.fyi/p/lily-seabird-hollow-hand-angela-autumn-crying-laughing-jon-mckiel | American folk, bluegrass and roots traditions recast for 2026 indie with arena-sized choruses, searing guitars and subtle psychedelia.
Annie Williams | Visitor | 2024 |  | 1 | https://www.noexpectations.fyi/p/music-will-prove-you-wrong | Refreshing, tasteful full-length of subtle pop melodies and conversational, funny writing with sparse arrangements from Nashville players.
Aïda Mekonnen Caby | Mais Uma | 2025 |  | 2 | https://www.noexpectations.fyi/p/best-new-albums-september-2025-big-thief-mae-powell-abel ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Pristine, dreamy folk-pop with big-indie production from TOLEDO members.
Ben Seretan | Youth Pastoral | 2020 |  | 1 | https://www.noexpectations.fyi/p/new-lps-robber-robber-sinai-vessel-ben-seretan | Earlier LP described as quiet, immersive, deceptively dark orchestral folk and baroque pop about losing faith.
Big Thief | Double Infinity | 2025 |  | 2 | https://www.noexpectations.fyi/p/best-new-albums-september-2025-big-thief-mae-powell-abel ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Their breeziest and most cosmic record, with ambient textures and humanistic lyrics.
Big Thief | Dragon New Warm Mountain I Believe In You | 2022 |  | 2 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according ; https://www.noexpectations.fyi/p/new-music-sam-evian-villagerrr-rosali-sun-seeker | A 20-track double LP that feels lived-in and alive, a document of four players locked into each other; evokes porch-and-cold-beer Michigan summers.
Billie Marten | Dog Eared | 2025 |  | 2 | https://www.noexpectations.fyi/p/phish-united-center-review-2025-new-music ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Full-band indie folk with commanding arrangements, twangy melodies and earthy production.
Blue Ranger | Close Your Eyes | 2024 |  | 3 | https://www.noexpectations.fyi/p/new-music-little-kid-hemlock-bnny-hour ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Rustic, anxious folk whose slow-unfolding arrangements and violin textures build to eureka moments.
Bonny Light Horseman | Keep Me on Your Mind/See You Free | 2024 |  | 3 | https://www.noexpectations.fyi/p/margaux-good-looks-bloomsday-new-music ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Anaïs Mitchell, Eric D. Johnson and Josh Kaufman's double LP of enchanting harmonies and impeccable folk songwriting.
Buck Meek | Haunted Mountain | 2023 | 4AD | 1 | https://www.noexpectations.fyi/p/new-albums-jeff-rosenstock-diners-buck-meek | Big Thief guitarist's ramshackle, patient folk-rock songs with groove-locked guitar work.
Carmen Perry | Eyes Like a Mirror | 2025 |  | 2 | https://www.noexpectations.fyi/p/10-albums-zastava-awning-junk-drawer ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Vivid, conversational solo set with earthy understated arrangements and subtle twang, away from Remember Sports' power-pop punk.
Cassandra Jenkins | My Light, My Destroyer | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-albums-clairo-billy-strings-sturgill | Listed without description among seven more good LPs of the week.
Casual Technicians | Well Once There Was A King | 2026 |  | 1 | https://www.noexpectations.fyi/p/casual-technicians-tara-clerkin-trio-slippers-basic | Low-key but eclectic, exploratory folk-rock cramming 24 tracks and Beach Boys harmonies into under an hour.
Charlie Hill | Chuck Pond | 2023 |  | 4 | https://www.noexpectations.fyi/p/best-new-music-q1-2023-morby-sakamoto ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/new-music-little-kid-hemlock-bnny-hour | Nashville friend of the Vermont crew (Freeman, Kesey, Dari Bay); cleaner-toned with ample pedal steel; singles 'Dive In' and 'L.A. Fever'.
Charlie Reed | Eddy | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Chicago band (not a person) making delicate, subdued folk-rock that swells with strings and pedal steel; known live for a Karen Dalton cover.
Charlotte Cornfield | Could Have Done Anything | 2023 |  | 3 | https://www.noexpectations.fyi/p/best-new-music-q1-2023-morby-sakamoto ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Single 'You and Me' feels like a Tom Petty song in the best way; forthcoming LP may be her best.
Charlotte Cornfield | Hurts Like Hell | 2026 |  | 2 | https://www.noexpectations.fyi/p/no-expectations-140-swimming ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Confident folk with piercing lyrics and a voice that strains against the melody.
Courtney Marie Andrews | Valentine | 2026 |  | 2 | https://www.noexpectations.fyi/p/otto-benson-joe-glass-jana-horn-winged-wheel ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Ornate Laurel Canyon-styled folk with Ronstadt-range vocals, ethereal harmonies and '70s Nashville taste.
Dagmar Zuniga | in filth your mystery is kingdom / far smile peasant in yellow music | 2026 |  | 2 | https://www.noexpectations.fyi/p/natalie-jane-hill-dagmar-zuniga-symbol-soup-doll-spirit-vessel ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Ghostly home-recorded folk sketches with spectral harmonies and muted synths, reissued via Phil Elverum.
Dead Gowns | It's Summer, I Love You, and I'm Surrounded by Snow | 2025 |  | 3 | https://www.noexpectations.fyi/p/dead-gowns-horsegirl-frog-goose-winter-tour ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | A voice that floors him like Angel Olsen's Burn Your Fire did in 2014, moving from warble to coo to scream over observant songwriting.
Dean Johnson | I Hope We Can Still Be Friends | 2025 |  | 1 | https://www.noexpectations.fyi/p/ratboys-mandy-indiana-ulrika-spacek-bad-bunny | Referenced in a live recap.
Elizabeth Moen | Wherever You Aren't | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Listed without blurb among 2022 favorites.
Ellie O'Neill | Time of Fallow | 2026 |  | 2 | https://www.noexpectations.fyi/p/i26connector-ellie-o-neill-red-pk-amaya-pena ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Immersive Irish folk with calm alto vocals, mixing austere minimalism and ornate pastoral rock.
Emily Hines | These Days | 2025 | Keeled Scales | 2 | https://www.noexpectations.fyi/p/best-new-albums-teethe-emily-hines-seth-beck-ada-lea ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Efficient, lived-in folk-rock debut built on sparse acoustic arrangements and a dynamic voice.
Erin Rae | Putting On Airs | 2018 |  | 1 | https://www.noexpectations.fyi/p/squirrel-flower-tomorrows-fire-interview | Earlier LP named in the recap.
Erin Rae | Soon Enough | 2015 |  | 1 | https://www.noexpectations.fyi/p/squirrel-flower-tomorrows-fire-interview | Earlier LP named in the recap.
Field Medic | grow your hair long if you're wanting to see something you can change | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Listed without blurb among 2022 favorites; asterisk means Terry wrote the bio.
Field Medic | Light Is Gone 2 | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Listed among the 40 honorable mentions (positions 61–100) with no blurb.
Field Medic | surrender instead | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Folk Bitch Trio | Now Would Be a Good Time | 2025 |  | 2 | https://www.noexpectations.fyi/p/no-expectations-116-be-here-now ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Jaw-dropping three-voice harmonies, airtight hooks and perceptive lyrics, near Julia Jacklin and Stella Donnelly.
Fran | Leaving | 2023 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/hovvdy-interview-charlie-martin-will-taylor | Maria Jacobson's stunning voice and new material stuck in his head.
Free Range | Lost & Found | 2025 |  | 3 | https://www.noexpectations.fyi/p/new-lps-lucky-cloud-sharp-pins-macie-stewart-free-range ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Subdued, plainspoken folk-rock demanding attention to lyrics, in an Elliott Smith / Adrianne Lenker lane.
Free Range | Practice | 2023 |  | 4 | https://www.noexpectations.fyi/p/meta-verification-free-range-greg-freeman ; https://www.noexpectations.fyi/p/spotify-vertical-feed-algorithm-ai-dj-koth ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list | Sofia Jensen's debut is 10 tracks of open, subdued, engaging folk evoking Elliott Smith, Lomelda and Katy Kirby; begun at 15, patient and intentional.
Gawshock | Leaves to the Sun | 2026 |  | 2 | https://www.noexpectations.fyi/p/gawshock-gia-margaret-carla-dal-forno-double-extra-large ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Listed without a blurb in the alphabetical honorable-mentions section.
Georgia Harmer | Stay in Touch | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Listed without blurb among 2022 favorites.
Gia Margaret | Singing | 2026 |  | 2 | https://www.noexpectations.fyi/p/gawshock-gia-margaret-carla-dal-forno-double-extra-large ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Listed without a blurb in the alphabetical honorable-mentions section.
Greg Mendez | Greg Mendez | 2023 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Philly DIY veteran's 23-minute self-titled LP of unflinching confessional folk about addiction and recovery.
h. pruz | Red sky at morning | 2025 |  | 2 | https://www.noexpectations.fyi/p/liam-kazar-astrachan-zook-h-pruz-belair-lip-bombs ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Lush, introspective folk that unfolds into orchestral arrangements or fuzzy shoegaze-tinged rock.
Haley Heynderickx | Seed of a Seed | 2024 |  | 2 | https://www.noexpectations.fyi/p/22-degree-halo-haley-heynderickx-lee-baggett ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Portland fingerpicked, conversational folk that finds grace in the mundane across ten verdant tracks.
Haley Heynderickx & Max García Conover | What of Our Nature | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Nuanced protest folk rooted in Woody Guthrie and radical history.
Hand Habits | Blue Reminder | 2025 |  | 2 | https://www.noexpectations.fyi/p/meg-duffy-hand-habits-interview-blue-reminder ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Taste Profile with Meg Duffy pegged to the new LP; she traces her guitar looping to marching-band cadences and names her formative folk and L Word-era touchstones.
Hannah Frances | Keeper of the Shepherd | 2024 | Ruination Record Co | 9 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 ; https://www.noexpectations.fyi/p/hannah-frances-mannequin-pussy-wildflower-new-lp ; https://www.noexpectations.fyi/p/new-albums-lamplight-amen-dunes-tapir | Seven mystifying songs pairing the knottiest folk with propulsive energy and a powerful voice; also recapped at Constellation.
Hannah Frances | Nested in Tangles | 2025 |  | 3 | https://www.noexpectations.fyi/p/hannah-frances-prewn-snooper-review ; https://www.noexpectations.fyi/p/cusp-good-flying-birds-shutaro-noguchi-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | A front-to-back listen of elegant, complex forest-folk arrangements: fingerpicked acoustic, horns, strings, jazz drums, with Daniel Rossen.
Hazel City | goblynmarkytt | 2026 |  | 2 | https://www.noexpectations.fyi/p/no-expectations-132-penny-in-the ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Intimate, openhearted Chicago folk with memorable melodies and lots of guest vocalists.
Helena Deland | Goodnight Summerland | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Graceful, smart, evocative songwriting with delicate acoustic arrangements and glittering Sam Evian production.
Hut | Hut | 2025 |  | 2 | https://www.noexpectations.fyi/p/best-new-albums-teethe-emily-hines-seth-beck-ada-lea ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Relaxed, effortless folk-leaning indie rock from Renny Conti's new band, with winsome harmonies and steel guitar.
Itasca | Imitation of War | 2024 |  | 1 | https://www.noexpectations.fyi/p/always-listen-to-your-friends-recommendations | Patient, exploratory guitar-driven folk rock with feathery vocals and dreamlike immersion.
Jackie West | Close To The Mystery | 2024 |  | 2 | https://www.noexpectations.fyi/p/new-albums-lamplight-amen-dunes-tapir ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far | Listed without commentary among 30 honorable mentions below the main mid-year list.
Jackie West | Silent Century | 2026 |  | 1 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Listed without a blurb in the alphabetical honorable-mentions section.
Jake Xerxes Fussell | When I'm Called | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-albums-clairo-billy-strings-sturgill | Unhurried folk of small revelations and slow contemplation with nothing forced.
