# No Expectations leads triaged to lane X10 — 72 albums. Format: artist | album | year | label | n_posts | URLs | note
Accessory | Dust | 2026 |  | 3 | https://www.noexpectations.fyi/p/friko-interview-brown-horse-accessory ; https://www.noexpectations.fyi/p/gawshock-gia-margaret-carla-dal-forno-double-extra-large ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Moody, hazy lo-fi rock with lush keys and mournful saxophone from Dehd's Jason Balla.
Bartees Strange | Farm to Table | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Listed without blurb among 2022 favorites.
Black Belt Eagle Scout | The Land, The Water, The Sky | 2023 | Saddle Creek | 1 | https://www.noexpectations.fyi/p/pitchfork-music-festival-2023-preview | February LP called fantastic.
Cafe Racer | Shadow Talk | 2020 | Born Yesterday | 1 | https://www.noexpectations.fyi/p/no-expectations-002-maverick | Chicago band Terry has loved since they opened for NE-HI; recommends this 2020 LP without much elaboration.
cistern | Rhizome | 2025 |  | 2 | https://www.noexpectations.fyi/p/joyer-cistern-flock-of-dimes-chico-states-album-reviews ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Propulsive post-punk with squirmy guitars and near-danceable melodies.
Closebye | Hammer of My Own | 2024 |  | 3 | https://www.noexpectations.fyi/p/new-lps-closebye-wishy-lindsay-reamer ; https://www.noexpectations.fyi/p/wild-pink-dulling-the-horns-interview-john-ross ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | NYC band's refreshing, inventively arranged rock that jumps from surging rock to soft rock to silky pop with surprising flourishes.
Cola | Cost of Living Adjustment | 2026 | Fire Talk | 2 | https://www.noexpectations.fyi/p/twin-peaks-age-of-peace-cola-trinity-ace ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Immersive, pummelling art-rock trio with undulating rhythms, buzzsaw guitars and icy melodies.
Cola | The Gloss | 2024 |  | 1 | https://www.noexpectations.fyi/p/mod-lang-liz-cooper-nashpaints-remember-sports | Referenced in the reader-correspondence section.
Corridor | Mimi | 2024 |  | 1 | https://www.noexpectations.fyi/p/saba-monde-ufo-oldstar-raisa-k-jonathan-personne | Personne's main band's 2024 album referenced as context.
Deeper | Careful! | 2023 | Sub Pop | 4 | https://www.noexpectations.fyi/p/pitchfork-music-festival-2023-preview ; https://www.noexpectations.fyi/p/vampire-weekend-albums-ranked-deep-dive ; https://www.noexpectations.fyi/p/best-new-albums-dusk-golden-apples-wilco | Knotty evolution of their hardwired guitar post-punk with more synths and samples; highlights 'devil-loc', 'Sub', 'Build a Bridge', 'Bite'.
Dehd | Blue Skies | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Chicago trio whose vocals, harmonies and drumming lock in so well Terry expects a major ascension; Killers-scale production floated as a hypothetical.
Dehd | Poetry | 2024 |  | 1 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far | Listed without commentary among 30 honorable mentions below the main mid-year list.
